scenario_name,scenario_description,scenario_type,probability,factor_type,factor_id,shock_type,shock_value,shock_description
Scenario_1,"Global economic downturn, interest rates rising sharply, and credit spreads widening.",stress,,yield_curve,CHF_SWAP,parallel_shift_bps,200,Interest rates rise sharply
Scenario_1,"Global economic downturn, interest rates rising sharply, and credit spreads widening.",stress,,spread_curve,CHF_CORP_A,parallel_shift_bps,200,Credit spreads widen significantly
Scenario_2,"Global economic downturn, interest rates rising sharply, and credit spreads widening.",stress,,yield_curve,EUR_SWAP,parallel_shift_bps,200,Interest rates rise sharply
Scenario_2,"Global economic downturn, interest rates rising sharply, and credit spreads widening.",stress,,spread_curve,CHF_CORP_BBB,parallel_shift_bps,200,Credit spreads widen significantly
Scenario_3,"Global economic downturn, interest rates rising sharply, and credit spreads widening.",stress,,yield_curve,CHF_SWAP,parallel_shift_bps,200,Interest rates rise sharply
Scenario_3,"Global economic downturn, interest rates rising sharply, and credit spreads widening.",stress,,spread_curve,EUR_CORP_A,parallel_shift_bps,200,Credit spreads widen significantly
Scenario_4,"Global economic downturn, interest rates rising sharply, and credit spreads widening.",stress,,yield_curve,EUR_SWAP,parallel_shift_bps,200,Interest rates rise sharply
Scenario_4,"Global economic downturn, interest rates rising sharply, and credit spreads widening.",stress,,spread_curve,CHF_CORP_BBB,parallel_shift_bps,200,Credit spreads widen significantly
Scenario_5,"Global economic downturn, interest rates rising sharply, and credit spreads widening.",stress,,yield_curve,CHF_SWAP,parallel_shift_bps,200,Interest rates rise sharply
Scenario_5,"Global economic downturn, interest rates rising sharply, and credit spreads widening.",stress,,spread_curve,EUR_CORP_BBB,parallel_shift_bps,200,Credit spreads widen significantly
